,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,101885,610,,Zimbabwe,38466,,2021-05-13 04:20:51,36277,,1579,-19.015438,29.154857,Zimbabwe,
1,101884,378,,Zambia,92211,,2021-05-13 04:20:51,90574,,1259,-13.133897,27.849332,Zambia,
2,101883,2218,,Yemen,6498,,2021-05-13 04:20:51,3003,,1277,15.552727,48.516388,Yemen,
3,101881,987,,Vietnam,3658,,2021-05-13 04:20:51,2636,,35,14.058324,108.277199,Vietnam,
4,101882,10978,,West Bank and Gaza,303270,,2021-05-13 04:20:51,288891,,3401,31.9522,35.2332,West Bank and Gaza,
5,101879,0,,Vanuatu,4,,2021-05-13 04:20:51,3,,1,-15.3767,166.9592,Vanuatu,
6,101880,14445,,Venezuela,210948,,2021-05-13 04:20:51,194166,,2337,6.4238,-66.5897,Venezuela,
7,101878,3825,,Uzbekistan,95467,,2021-05-13 04:20:51,90976,,666,41.377491,64.585262,Uzbekistan,
8,101876,206426,,"Wales, United Kingdom",211983,,2021-05-13 04:20:51,0,,5557,52.1307,-3.7837,United Kingdom,Wales
9,101877,25928,,Uruguay,228102,,2021-05-13 04:20:51,198922,,3252,-32.5228,-55.7658,Uruguay,
10,101875,0,,"Unknown, United Kingdom",0,,2021-05-13 04:20:51,0,,0,0.0,0.0,United Kingdom,Unknown
11,101873,220762,,"Scotland, United Kingdom",228423,,2021-05-13 04:20:51,0,,7661,56.4907,-4.2026,United Kingdom,Scotland
12,101874,22,,"Turks and Caicos Islands, United Kingdom",2404,,2021-05-13 04:20:51,2365,,17,21.694000000000006,-71.7979,United Kingdom,Turks and Caicos Islands
13,101872,0,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",4,,2021-05-13 04:20:51,4,,0,-7.9467,-14.3559,United Kingdom,"Saint Helena, Ascension and Tristan da Cunha"
14,101870,0,,"Montserrat, United Kingdom",20,,2021-05-13 04:20:51,19,,1,16.742498,-62.187366,United Kingdom,Montserrat
15,101871,119076,,"Northern Ireland, United Kingdom",121224,,2021-05-13 04:20:51,0,,2148,54.7877,-6.4923,United Kingdom,Northern Ireland
16,101867,0,,"Falkland Islands (Malvinas), United Kingdom",63,,2021-05-13 04:20:51,63,,0,-51.7963,-59.5236,United Kingdom,Falkland Islands (Malvinas)
17,101869,9,,"Isle of Man, United Kingdom",1590,,2021-05-13 04:20:51,1552,,29,54.2361,-4.5481,United Kingdom,Isle of Man
18,101868,3,,"Gibraltar, United Kingdom",4286,,2021-05-13 04:20:51,4189,,94,36.1408,-5.3536,United Kingdom,Gibraltar
19,101866,3768071,,"England, United Kingdom",3880345,,2021-05-13 04:20:51,0,,112274,52.3555,-1.1743,United Kingdom,England
20,101864,12,,"Cayman Islands, United Kingdom",560,,2021-05-13 04:20:51,546,,2,19.3133,-81.2546,United Kingdom,Cayman Islands
21,101865,15,,"Channel Islands, United Kingdom",4057,,2021-05-13 04:20:51,3956,,86,49.3723,-2.3644,United Kingdom,Channel Islands
22,101863,25,,"British Virgin Islands, United Kingdom",219,,2021-05-13 04:20:51,193,,1,18.4207,-64.64,United Kingdom,British Virgin Islands
23,101862,242,,"Bermuda, United Kingdom",2455,,2021-05-13 04:20:51,2182,,31,32.3078,-64.7505,United Kingdom,Bermuda
24,101861,20,,"Anguilla, United Kingdom",109,,2021-05-13 04:20:51,89,,0,18.2206,-63.0686,United Kingdom,Anguilla
25,101860,18145,,United Arab Emirates,540646,,2021-05-13 04:20:51,520882,,1619,23.424076,53.847818,United Arab Emirates,
26,101858,11948,,"Zaporizhia Oblast, Ukraine",98791,,2021-05-13 04:20:51,84756,,2087,47.8388,35.1396,Ukraine,Zaporizhia Oblast
27,101859,11354,,"Zhytomyr Oblast, Ukraine",85821,,2021-05-13 04:20:51,72794,,1673,50.2547,28.6587,Ukraine,Zhytomyr Oblast
28,101857,2341,,"Zakarpattia Oblast, Ukraine",60621,,2021-05-13 04:20:51,56731,,1549,48.6208,22.2879,Ukraine,Zakarpattia Oblast
29,101856,4867,,"Volyn Oblast, Ukraine",58883,,2021-05-13 04:20:51,52967,,1049,50.7472,25.3254,Ukraine,Volyn Oblast
30,101854,5410,,"Ternopil Oblast, Ukraine",67730,,2021-05-13 04:20:51,61197,,1123,49.5535,25.5948,Ukraine,Ternopil Oblast
31,101855,12036,,"Vinnytsia Oblast, Ukraine",69029,,2021-05-13 04:20:51,55403,,1590,49.2331,28.4682,Ukraine,Vinnytsia Oblast
32,101853,4718,,"Sumy Oblast, Ukraine",74651,,2021-05-13 04:20:51,68742,,1191,50.9077,34.7981,Ukraine,Sumy Oblast
33,101851,4820,,"Rivne Oblast, Ukraine",74248,,2021-05-13 04:20:51,68328,,1100,50.6199,26.2516,Ukraine,Rivne Oblast
34,101852,394,,"Sevastopol*, Ukraine",14336,,2021-05-13 04:20:51,13290,,652,44.6054,33.522,Ukraine,Sevastopol*
35,101850,7424,,"Poltava Oblast, Ukraine",74367,,2021-05-13 04:20:51,65286,,1657,49.5883,34.5514,Ukraine,Poltava Oblast
36,101848,2619,,"Mykolaiv Oblast, Ukraine",65335,,2021-05-13 04:20:51,60998,,1718,46.975,31.9946,Ukraine,Mykolaiv Oblast
37,101849,25208,,"Odessa Oblast, Ukraine",136637,,2021-05-13 04:20:51,108714,,2715,46.4846,30.7326,Ukraine,Odessa Oblast
38,101847,15432,,"Lviv Oblast, Ukraine",132046,,2021-05-13 04:20:51,113207,,3407,49.8397,24.0297,Ukraine,Lviv Oblast
39,101846,3637,,"Luhansk Oblast, Ukraine",24783,,2021-05-13 04:20:51,20340,,806,48.574,39.3078,Ukraine,Luhansk Oblast
40,101843,65876,,"Kiev, Ukraine",199802,,2021-05-13 04:20:51,129072,,4854,50.4501,30.5234,Ukraine,Kiev
41,101844,11272,,"Kiev Oblast, Ukraine",120989,,2021-05-13 04:20:51,107186,,2531,50.053,30.7667,Ukraine,Kiev Oblast
42,101845,5409,,"Kirovohrad Oblast, Ukraine",19302,,2021-05-13 04:20:51,13171,,722,48.5079,32.2623,Ukraine,Kirovohrad Oblast
43,101842,8344,,"Khmelnytskyi Oblast, Ukraine",85691,,2021-05-13 04:20:51,75635,,1712,49.423,26.9871,Ukraine,Khmelnytskyi Oblast
44,101841,4583,,"Kherson Oblast, Ukraine",32478,,2021-05-13 04:20:51,26921,,974,46.6354,32.6169,Ukraine,Kherson Oblast
45,101839,2668,,"Ivano-Frankivsk Oblast, Ukraine",84701,,2021-05-13 04:20:51,80028,,2005,48.9226,24.7111,Ukraine,Ivano-Frankivsk Oblast
46,101840,20623,,"Kharkiv Oblast, Ukraine",141115,,2021-05-13 04:20:51,117538,,2954,49.9935,36.2304,Ukraine,Kharkiv Oblast
47,101837,17272,,"Dnipropetrovsk Oblast, Ukraine",126979,,2021-05-13 04:20:51,106079,,3628,48.4647,35.0462,Ukraine,Dnipropetrovsk Oblast
48,101838,11894,,"Donetsk Oblast, Ukraine",84459,,2021-05-13 04:20:51,70664,,1901,48.0159,37.8028,Ukraine,Donetsk Oblast
49,101836,1953,,"Crimea Republic*, Ukraine",41679,,2021-05-13 04:20:51,38457,,1269,45.2835,34.2008,Ukraine,Crimea Republic*
50,101835,8692,,"Chernivtsi Oblast, Ukraine",78042,,2021-05-13 04:20:51,67649,,1701,48.2917,25.9352,Ukraine,Chernivtsi Oblast
